epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.80886,2.4149,5.0054,1.1449,0.00022,0.02632,0.00012,1e-05,3.34909,4.8327,1.37915,0,0,0
2,9.04933,2.2135,4.8653,1.1131,0.00044,0.05263,0.00024,8e-05,3.27712,4.82392,1.33485,1.802e-05,1.802e-05,1.802e-05
3,13.2754,2.19042,4.52964,1.09878,0.00067,0.07895,0.00036,0.00012,3.27019,4.70814,1.29168,3.208e-05,3.208e-05,3.208e-05
4,17.3684,2.29314,4.56665,1.12754,0.00089,0.10526,0.00053,0.00015,3.23071,4.61134,1.25486,4.218e-05,4.218e-05,4.218e-05
5,21.89,1.97408,4.26014,1.00554,0.002,0.23684,0.00125,0.00027,3.10143,4.60047,1.17066,4.832e-05,4.832e-05,4.832e-05
6,26.0375,1.98575,4.74657,0.97901,0.002,0.23684,0.00142,0.00023,3.08365,4.5749,1.15615,5.05e-05,5.05e-05,5.05e-05
7,30.1394,1.99352,4.35379,0.99445,0.00178,0.21053,0.00125,0.00021,3.07967,4.51125,1.1548,4.872e-05,4.872e-05,4.872e-05
8,34.4134,1.94229,3.94989,1.01587,0.002,0.23684,0.00149,0.00027,2.91918,4.47057,1.1105,4.298e-05,4.298e-05,4.298e-05
9,38.5942,1.94625,3.91309,1.02423,0.002,0.23684,0.00156,0.00039,2.79392,4.40176,1.08815,3.328e-05,3.328e-05,3.328e-05
10,42.9552,1.96816,4.07364,1.00072,0.00333,0.39474,0.00286,0.00061,2.71736,4.33736,1.07569,1.962e-05,1.962e-05,1.962e-05
